Date,Bank,Product,Country,Search Overall score,Web Overall score,Social Media Overall score,Referral Overall score,Awareness 1 score,Awareness 2 score,Awareness 3 score,Awareness 4 score,Awareness 5 score,Evaluation 1 score,Evaluation 2 score,Evaluation 3 score,Evaluation 4 score,Evaluation 5 score,Commitment 1 score,Commitment 2 score,Commitment 3 score,Commitment 4 score,Commitment 5 score,Purchase 1 score,Purchase 2 score,Purchase 3 score,Purchase 4 score,Purchase 5 score,Awarness Score,Evaluation Score,Commitment Score,Purchase Score,Customer Journey Score,Needs Channel Score,Acquire Score
01-01-2017,bank of america,cc,us,18.77,19.96,30.47,7.96,16.53,41.04,22.27,7.1,0.69,0.0,5.34,23.89,30.7,16.35,0.09,0.0,33.49,0.0,0.0,60.08,12.21,26.76,16.98,35.35,17.53,15.26,6.72,30.28,17.45,19.29,18.37
01-02-2017,bank of america,cc,us,17.59,19.78,31.03,7.85,17.1,38.41,24.1,44.19,5.91,0.0,22.9,27.41,27.54,18.58,2.3,0.0,22.13,0.0,0.0,64.79,23.46,33.55,15.25,37.29,25.94,19.29,4.89,34.87,21.25,19.06,20.16
01-03-2017,bank of america,cc,us,18.74,19.43,34.32,7.96,16.63,38.87,23.04,41.47,4.81,0.0,30.7,30.67,29.22,16.27,0.06,0.0,12.08,0.0,0.0,61.51,29.72,29.39,21.3,39.41,24.96,21.37,2.43,36.27,21.26,20.11,20.68
01-04-2017,bank of america,cc,us,18.91,20.16,29.65,7.92,19.03,42.45,23.74,39.78,4.11,0.0,27.65,27.63,25.8,18.58,3.69,0.0,3.97,0.0,0.0,58.71,23.59,30.62,20.37,37.86,25.82,19.93,1.53,34.23,20.38,19.16,19.77
01-05-2017,bank of america,cc,us,20.19,21.42,30.21,7.88,16.17,39.78,20.39,39.23,5.12,0.0,22.77,25.73,21.26,14.33,0.05,0.0,2.38,0.0,0.0,52.96,17.45,25.15,17.59,36.34,24.14,16.82,0.49,29.9,17.84,19.92,18.88
01-06-2017,bank of america,cc,us,19.38,21.4,32.27,7.92,18.39,41.34,22.59,41.82,5.91,0.0,21.31,24.21,32.85,15.12,0.0,0.0,0.0,0.0,0.0,51.17,14.46,26.37,17.72,33.72,26.01,18.7,0.0,28.69,18.35,20.24,19.3
01-07-2017,bank of america,cc,us,18.18,21.81,29.75,7.96,16.46,39.86,14.66,37.6,1.11,0.0,24.27,11.44,24.45,16.01,0.0,0.0,0.0,0.0,0.0,42.22,11.26,28.04,17.72,26.69,21.94,15.23,0.0,25.19,15.59,19.42,17.51
01-08-2017,bank of america,cc,us,18.77,21.57,30.55,7.85,21.44,43.3,22.98,42.72,3.6,0.0,22.96,23.84,33.1,16.47,0.0,0.0,0.0,10.19,0.0,45.96,11.97,34.78,12.28,38.7,26.81,19.27,2.04,28.74,19.22,19.68,19.45
01-09-2017,bank of america,cc,us,18.17,21.25,36.72,7.85,23.77,48.67,22.9,39.89,3.7,0.0,27.99,25.01,31.31,15.96,0.0,0.0,0.0,6.48,0.0,47.93,26.98,46.31,12.28,42.9,27.79,20.05,1.3,35.28,21.1,21.0,21.05
01-10-2017,bank of america,cc,us,18.05,20.94,34.79,7.81,30.75,50.07,23.86,43.76,8.23,0.0,28.58,26.34,32.23,16.28,0.0,0.0,0.0,10.19,0.0,53.24,30.58,41.66,31.23,45.91,31.33,20.69,2.04,40.52,23.64,20.4,22.02
01-11-2017,bank of america,cc,us,20.2,20.62,35.37,7.99,37.38,49.73,28.22,38.01,6.73,0.0,26.95,26.82,35.99,17.88,0.0,0.0,0.0,10.19,0.0,51.64,29.44,41.5,34.07,35.32,32.01,21.53,2.04,38.39,23.49,21.04,22.26
01-12-2017,bank of america,cc,us,17.08,21.21,32.69,7.85,37.84,51.44,24.52,42.54,13.85,0.0,24.75,26.45,27.25,18.93,0.0,0.0,3.62,10.19,0.0,53.94,27.74,39.85,36.39,43.0,34.04,19.48,2.76,40.18,24.12,19.71,21.92
01-01-2018,bank of america,cc,us,20.16,21.2,29.85,7.92,31.39,50.35,22.89,38.03,11.34,0.0,25.76,31.39,24.52,15.75,0.0,0.0,3.97,10.98,0.0,62.28,20.91,34.6,38.7,41.54,30.8,19.48,2.99,39.61,23.22,19.78,21.5
01-02-2018,bank of america,cc,us,21.13,21.4,32.39,7.81,33.29,52.72,21.98,40.29,12.44,0.0,25.88,32.86,30.45,15.36,0.0,0.0,3.97,7.28,0.0,66.43,16.77,38.11,34.38,42.03,32.14,20.91,2.25,39.54,23.71,20.68,22.2
01-03-2018,bank of america,cc,us,15.01,21.24,32.22,7.81,23.72,42.41,16.74,26.27,13.45,0.0,22.66,27.26,25.57,14.44,11.45,0.0,2.38,20.37,5.31,50.81,7.75,23.1,23.02,32.41,24.52,17.99,7.9,27.42,19.46,19.07,19.26
01-04-2018,bank of america,cc,us,17.36,21.12,30.17,7.77,24.14,40.45,12.78,26.37,15.23,0.0,22.48,22.61,33.74,14.77,8.07,0.0,13.23,6.48,0.0,47.14,10.19,16.98,23.8,33.43,23.79,18.72,5.56,26.31,18.6,19.1,18.85
01-05-2018,bank of america,cc,us,16.23,20.42,32.38,7.77,26.47,43.4,16.2,31.34,10.95,0.0,23.63,29.23,28.19,16.92,5.82,0.0,5.64,10.19,5.31,54.58,7.32,21.78,22.1,34.85,25.67,19.59,5.39,28.13,19.7,19.2,19.45
01-06-2018,bank of america,cc,us,15.98,20.36,29.5,7.73,25.78,42.21,14.4,28.5,12.43,0.0,24.44,28.12,19.5,15.32,7.42,0.0,7.23,20.37,3.46,50.97,9.24,21.78,20.25,32.28,24.66,17.48,7.7,26.9,19.19,18.39,18.79
01-07-2018,bank of america,cc,us,15.13,19.32,32.05,7.67,28.03,42.05,16.72,28.78,11.43,0.0,26.75,29.49,22.37,18.46,8.06,0.0,3.97,6.48,6.23,50.25,12.37,18.21,21.33,33.21,25.4,19.41,4.95,27.07,19.21,18.54,18.88
01-08-2018,bank of america,cc,us,16.69,20.34,29.67,7.77,26.82,44.94,15.25,28.25,11.65,0.0,22.06,26.21,18.32,16.1,1.6,0.0,7.58,6.48,3.46,47.89,10.41,20.06,14.63,30.01,25.38,16.54,3.82,24.6,17.58,18.62,18.1
01-09-2018,bank of america,cc,us,14.64,19.42,31.86,7.73,23.37,41.94,16.34,29.69,13.14,0.0,17.76,25.26,19.15,15.8,1.6,0.0,4.06,16.67,6.23,48.44,11.37,15.41,7.96,26.33,24.9,15.59,5.71,21.9,17.02,18.41,17.72
01-10-2018,bank of america,cc,us,13.85,19.24,34.42,7.81,25.46,39.18,13.19,26.54,12.15,0.0,14.33,22.16,21.33,10.36,0.21,0.0,4.06,12.96,0.0,49.59,8.71,18.03,10.43,32.72,23.3,13.64,3.45,23.9,16.07,18.83,17.45
01-11-2018,bank of america,cc,us,13.77,20.4,32.27,7.7,23.51,40.02,13.61,30.66,14.86,0.0,17.39,25.11,19.48,15.69,4.33,0.0,14.81,16.67,0.0,50.27,14.98,17.9,14.63,29.54,24.53,15.53,7.16,25.46,18.17,18.54,18.36
01-12-2018,bank of america,cc,us,14.73,21.41,30.6,7.85,27.14,44.08,15.86,29.29,17.52,0.0,19.91,27.12,29.32,16.64,0.15,0.0,12.56,6.48,0.0,50.57,13.34,17.13,22.07,31.76,26.78,18.6,3.84,26.97,19.05,18.65,18.85
01-01-2019,bank of america,cc,us,17.08,19.99,28.79,7.92,27.55,40.02,16.78,31.06,15.66,0.0,18.61,23.22,24.98,17.23,1.55,0.0,11.64,10.19,0.0,50.45,12.99,23.36,16.36,32.48,26.21,16.81,4.68,27.13,18.71,18.44,18.58
01-02-2019,bank of america,cc,us,17.01,20.78,30.6,7.81,21.72,38.61,16.6,30.88,12.06,0.0,18.07,24.74,20.27,16.22,0.16,0.0,7.58,10.19,0.0,51.27,12.99,18.37,15.9,33.11,23.97,15.86,3.59,26.33,17.44,19.05,18.24
01-03-2019,bank of america,cc,us,18.01,20.58,29.68,7.81,25.2,38.1,14.07,28.14,11.31,0.0,20.11,22.78,31.02,15.11,0.15,0.0,9.96,20.37,0.0,52.58,13.65,20.68,13.4,37.32,23.36,17.8,6.1,27.53,18.7,19.02,18.86
01-04-2019,bank of america,cc,us,16.07,20.0,30.74,10.34,23.67,37.01,13.11,29.86,15.55,0.0,15.9,19.82,19.7,14.73,0.1,0.0,17.94,0.0,0.0,50.21,10.61,17.55,18.98,38.95,23.84,14.03,3.61,27.26,17.18,19.29,18.24
01-05-2019,bank of america,cc,us,17.37,19.77,30.81,10.23,23.85,40.82,16.12,29.78,13.23,0.0,16.79,17.78,21.28,14.63,0.1,0.0,16.26,0.0,5.31,50.41,11.56,15.41,16.98,38.28,24.76,14.1,4.33,26.53,17.43,19.55,18.49
01-06-2019,bank of america,cc,us,20.58,19.35,31.42,10.3,19.87,42.12,24.79,38.41,11.95,0.0,26.55,37.92,21.16,26.68,3.72,0.0,3.62,10.19,21.23,55.47,20.02,21.81,37.03,35.91,27.43,22.46,7.75,34.05,22.92,20.41,21.66
01-07-2019,bank of america,cc,us,21.39,18.99,28.94,10.19,17.28,37.06,18.19,29.55,10.49,0.0,24.32,30.31,19.42,21.08,2.93,7.78,5.64,6.48,13.83,47.64,11.74,19.23,27.79,31.16,22.51,19.03,7.33,27.51,19.1,19.88,19.49
01-08-2019,bank of america,cc,us,18.63,18.77,30.66,10.23,16.12,38.52,17.95,31.83,12.36,0.0,18.63,35.61,27.69,25.02,1.53,16.11,11.2,10.19,24.01,52.78,10.44,14.02,27.0,39.23,23.36,21.39,12.61,28.69,21.51,19.57,20.54
01-09-2019,bank of america,cc,us,19.42,23.69,32.6,10.3,18.09,37.43,18.25,32.17,10.18,0.0,17.18,31.39,38.02,22.5,1.54,0.0,14.23,10.19,19.38,53.68,14.06,13.55,19.0,33.8,23.22,21.82,9.07,26.82,20.23,21.5,20.86
01-10-2019,bank of america,cc,us,19.15,18.91,32.94,10.08,19.65,43.08,19.56,32.34,10.25,0.0,21.87,32.54,27.51,18.78,6.04,0.0,8.02,6.48,13.15,55.88,16.5,19.5,26.58,38.34,24.98,20.14,6.74,31.36,20.8,20.27,20.54
01-11-2019,bank of america,cc,us,20.16,18.72,32.34,10.3,18.95,38.84,19.78,31.9,7.89,0.0,22.02,32.23,20.7,18.99,2.38,0.0,11.99,17.46,15.0,53.04,17.37,16.26,22.23,35.69,23.47,18.79,9.37,28.92,20.14,20.38,20.26
01-12-2019,bank of america,cc,us,23.28,18.25,34.16,10.38,17.96,42.69,24.75,37.21,9.23,0.0,30.31,41.31,31.77,24.63,1.51,0.0,3.97,20.37,26.54,53.37,18.03,19.66,25.99,40.5,26.37,25.6,10.48,31.51,23.49,21.52,22.5
01-01-2020,bank of america,cc,us,21.94,18.42,32.41,10.69,19.04,44.57,21.19,36.85,7.74,0.0,25.76,42.51,26.81,29.77,1.52,0.0,3.97,20.37,22.84,52.75,9.14,22.54,25.22,38.38,25.88,24.97,9.74,29.61,22.55,20.86,21.7
01-02-2020,bank of america,cc,us,22.51,18.91,32.02,11.04,16.1,45.14,19.94,30.87,8.71,0.0,30.24,39.69,24.08,24.76,1.56,0.0,3.62,12.96,28.95,54.86,11.36,19.87,23.37,41.33,24.15,23.75,9.42,30.16,21.87,21.12,21.5
01-03-2020,bank of america,cc,us,26.16,18.38,27.33,10.56,18.78,44.61,21.02,33.68,12.66,0.0,26.56,37.32,25.57,29.99,2.42,0.0,7.94,6.48,9.69,54.64,9.45,19.89,31.58,38.95,26.15,23.89,5.31,30.9,21.56,20.61,21.08
01-04-2020,bank of america,cc,us,25.89,18.09,32.79,12.01,17.79,44.27,23.86,35.99,13.01,0.0,31.2,43.38,21.99,29.65,4.42,0.0,9.96,16.67,6.23,56.82,8.71,17.03,32.04,40.78,26.98,25.24,7.46,31.08,22.69,22.2,22.44
01-05-2020,bank of america,cc,us,26.15,18.68,32.5,12.79,18.2,45.71,23.67,34.76,12.47,0.0,33.26,40.62,25.84,28.0,5.22,0.0,9.61,12.96,11.54,60.94,11.06,19.1,29.96,45.34,26.96,25.54,7.87,33.28,23.41,22.53,22.97
01-06-2020,bank of america,cc,us,27.97,18.77,29.99,12.76,22.92,53.09,26.72,38.58,16.19,0.0,41.99,46.55,34.36,35.61,1.6,0.0,13.23,10.19,8.77,65.14,14.37,24.24,33.31,52.78,31.5,31.7,6.76,37.97,26.98,22.37,24.68
01-07-2020,bank of america,cc,us,28.5,19.67,29.46,12.5,27.92,61.45,30.32,44.47,19.38,0.0,58.72,56.63,32.63,43.57,7.24,0.0,11.64,30.56,10.62,81.29,15.12,34.64,35.02,53.89,36.71,38.31,12.01,43.99,32.76,22.53,27.64
01-08-2020,bank of america,cc,us,28.78,19.54,29.67,12.38,24.48,58.47,26.34,43.0,15.58,0.0,49.16,56.69,36.27,41.7,7.57,0.0,15.26,12.96,8.77,79.64,11.04,31.96,40.26,53.8,33.57,36.76,8.91,43.34,30.64,22.59,26.62
